case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index,bcase_delta_b_with_nonthermal_success,bcase_delta_b_with_nonthermal_acquisition_time_s,bcase_delta_b_with_nonthermal_residual_x_urad,bcase_delta_b_with_nonthermal_residual_y_urad,bcase_delta_b_with_nonthermal_residual_norm_urad,bcase_delta_b_with_nonthermal_pointing_error_x_urad,bcase_delta_b_with_nonthermal_pointing_error_y_urad,bcase_delta_b_with_nonthermal_pointing_error_norm_urad,bcase_delta_b_with_nonthermal_thermal_residual_norm_urad,bcase_delta_b_with_nonthermal_scan_index,bcase_residual_fourier_success,bcase_residual_fourier_acquisition_time_s,bcase_residual_fourier_residual_x_urad,bcase_residual_fourier_residual_y_urad,bcase_residual_fourier_residual_norm_urad,bcase_residual_fourier_pointing_error_x_urad,bcase_residual_fourier_pointing_error_y_urad,bcase_residual_fourier_pointing_error_norm_urad,bcase_residual_fourier_thermal_residual_norm_urad,bcase_residual_fourier_scan_index,bcase_residual_fourier_with_nonthermal_success,bcase_residual_fourier_with_nonthermal_acquisition_time_s,bcase_residual_fourier_with_nonthermal_residual_x_urad,bcase_residual_fourier_with_nonthermal_residual_y_urad,bcase_residual_fourier_with_nonthermal_residual_norm_urad,bcase_residual_fourier_with_nonthermal_pointing_error_x_urad,bcase_residual_fourier_with_nonthermal_pointing_error_y_urad,bcase_residual_fourier_with_nonthermal_pointing_error_norm_urad,bcase_residual_fourier_with_nonthermal_thermal_residual_norm_urad,bcase_residual_fourier_with_nonthermal_scan_index
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,0.0,21.55356735336101,93.75926158199714,96.2047576685126,70.14628041037648,20.30031611729132,73.02467726647701,91.6998477637375,114.05957769928845,146.35043336059056,1.0,0.1,1.0180043155042569,1.7303434774134985,2.007590928504293,1.0180043155042569,1.7303434774134985,2.007590928504293,2.007590928504293,0.0,1.0,0.1,71.16428472588075,22.030659594704815,74.49634476082691,71.16428472588075,22.030659594704815,74.49634476082691,2.007590928504293,0.0,1.0,0.1,71.16428472588075,22.030659594704815,74.49634476082691,71.16428472588075,22.030659594704815,74.49634476082691,2.007590928504293,0.0,1.0,0.1,1.0180043155042569,1.7303434774134985,2.007590928504293,1.0180043155042569,1.7303434774134985,2.007590928504293,2.007590928504293,0.0,1.0,0.1,71.16428472588075,22.030659594704815,74.49634476082691,71.16428472588075,22.030659594704815,74.49634476082691,2.007590928504293,0.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,60.5,21.14152053887399,100.82366874518635,103.01638738538009,56.1353829200089,114.9115366897308,127.88996238943608,77.27690345888288,215.73520543491713,229.15802118241334,1.0,0.1,0.6059575010172367,1.3490871035590999,1.4789254565489554,0.6059575010172367,1.3490871035590999,1.4789254565489554,1.4789254565489554,0.0,1.0,0.1,56.74134042102613,116.26062379328988,129.36812728635928,56.74134042102613,116.26062379328988,129.36812728635928,1.4789254565489554,0.0,1.0,0.1,56.74134042102613,116.26062379328988,129.36812728635928,56.74134042102613,116.26062379328988,129.36812728635928,1.4789254565489554,0.0,1.0,0.1,0.6059575010172367,1.3490871035590999,1.4789254565489554,0.6059575010172367,1.3490871035590999,1.4789254565489554,1.4789254565489554,0.0,1.0,0.1,56.74134042102613,116.26062379328988,129.36812728635928,56.74134042102613,116.26062379328988,129.36812728635928,1.4789254565489554,0.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,121.0,20.71695554220645,107.62171765330712,109.59756547289687,86.47251031320098,40.34884561642671,95.42287138021412,107.18946585540743,147.97056326973382,182.7152680668199,1.0,0.1,0.18139250434969512,1.0444064409933844,1.0600415343856682,0.18139250434969512,1.0444064409933844,1.0600415343856682,1.0600415343856682,0.0,1.0,0.1,86.65390281755069,41.393252057420085,96.0328078804459,86.65390281755069,41.393252057420085,96.0328078804459,1.0600415343856682,0.0,1.0,0.1,86.65390281755069,41.393252057420085,96.0328078804459,86.65390281755069,41.393252057420085,96.0328078804459,1.0600415343856682,0.0,1.0,0.1,0.18139250434969512,1.0444064409933844,1.0600415343856682,0.18139250434969512,1.0444064409933844,1.0600415343856682,1.0600415343856682,0.0,1.0,0.1,86.65390281755069,41.393252057420085,96.0328078804459,86.65390281755069,41.393252057420085,96.0328078804459,1.0600415343856682,0.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,181.5,20.281509433934016,114.15083898734044,115.93857712785885,14.274324035529883,89.72893625491832,90.85724147315118,34.5558334694639,203.87977524225875,206.78749570417276,1.0,0.1,-0.25405360392273835,0.7996324611237213,0.8390204446549031,-0.25405360392273835,0.7996324611237213,0.8390204446549031,0.8390204446549031,0.0,1.0,0.1,14.020270431607145,90.52856871604203,91.60780390747581,14.020270431607145,90.52856871604203,91.60780390747581,0.8390204446549031,0.0,1.0,0.1,14.020270431607145,90.52856871604203,91.60780390747581,14.020270431607145,90.52856871604203,91.60780390747581,0.8390204446549031,0.0,1.0,0.1,-0.25405360392273835,0.7996324611237213,0.8390204446549031,-0.25405360392273835,0.7996324611237213,0.8390204446549031,0.8390204446549031,0.0,1.0,0.1,14.020270431607145,90.52856871604203,91.60780390747581,14.020270431607145,90.52856871604203,91.60780390747581,0.8390204446549031,0.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,242.0,19.85013432196439,120.43273510521972,122.05765652970751,-67.92909400396923,44.13155712683327,81.00590192473038,-48.078959682004836,164.564292232053,171.4438469060362,1.0,0.1,-0.685428715892364,0.607649575431239,0.9159970147831378,-0.685428715892364,0.607649575431239,0.9159970147831378,0.9159970147831378,0.0,1.0,0.1,-68.61452271986158,44.73920670226451,81.91183885386991,-68.61452271986158,44.73920670226451,81.91183885386991,0.9159970147831378,0.0,1.0,0.1,-68.61452271986158,44.73920670226451,81.91183885386991,-68.61452271986158,44.73920670226451,81.91183885386991,0.9159970147831378,0.0,1.0,0.1,-0.685428715892364,0.607649575431239,0.9159970147831378,-0.685428715892364,0.607649575431239,0.9159970147831378,0.9159970147831378,0.0,1.0,0.1,-68.61452271986158,44.73920670226451,81.91183885386991,-68.61452271986158,44.73920670226451,81.91183885386991,0.9159970147831378,0.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,302.5,19.42862186340371,126.47931038316824,127.96283563016623,23.177776866058284,183.76830036787499,185.22418190007022,42.60639872946199,310.2476107510432,313.1595203557202,1.0,0.1,-1.1069411744530449,0.4690370045755401,1.2022123254070727,-1.1069411744530449,0.4690370045755401,1.2022123254070727,1.2022123254070727,0.0,1.0,0.4,22.07083569160524,64.23733737245053,67.92317204627493,22.07083569160524,184.23733737245053,185.554623413743,1.2022123254070727,3.0,1.0,0.4,22.07083569160524,64.23733737245053,67.92317204627493,22.07083569160524,184.23733737245053,185.554623413743,1.2022123254070727,3.0,1.0,0.1,-1.1069411744530449,0.4690370045755401,1.2022123254070727,-1.1069411744530449,0.4690370045755401,1.2022123254070727,1.2022123254070727,0.0,1.0,0.4,22.07083569160524,64.23733737245053,67.92317204627493,22.07083569160524,184.23733737245053,185.554623413743,1.2022123254070727,3.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,363.0,19.016999783808068,132.2970440632818,133.6568522323464,27.753625281075553,226.07888750887346,227.7760459168001,46.77062506488362,358.37593157215525,361.4149965056376,1.0,0.1,-1.5185632540486864,0.3845531081250897,1.5664978294002205,-1.5185632540486864,0.3845531081250897,1.5664978294002205,1.5664978294002205,0.0,1.0,0.4,26.235062027026864,106.46344061699855,109.64826796430084,26.235062027026864,226.46344061699855,227.97799985009686,1.5664978294002205,3.0,1.0,0.4,26.235062027026864,106.46344061699855,109.64826796430084,26.235062027026864,226.46344061699855,227.97799985009686,1.5664978294002205,3.0,1.0,0.1,-1.5185632540486864,0.3845531081250897,1.5664978294002205,-1.5185632540486864,0.3845531081250897,1.5664978294002205,1.5664978294002205,0.0,1.0,0.4,26.235062027026864,106.46344061699855,109.64826796430084,26.235062027026864,226.46344061699855,227.97799985009686,1.5664978294002205,3.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,423.5,18.61802564316988,137.9103342535157,139.1613853508442,18.584967580635528,215.8064602516509,216.60523840923295,37.20299322380541,353.7167945051666,355.6678695353585,1.0,0.1,-1.9175373946868746,0.3586195051122445,1.950783844886326,-1.9175373946868746,0.3586195051122445,1.950783844886326,1.950783844886326,0.0,1.0,0.4,16.667430185948653,96.16507975676313,97.59880016490001,16.667430185948653,216.16507975676313,216.8066994704067,1.950783844886326,3.0,1.0,0.4,16.667430185948653,96.16507975676313,97.59880016490001,16.667430185948653,216.16507975676313,216.8066994704067,1.950783844886326,3.0,1.0,0.1,-1.9175373946868746,0.3586195051122445,1.950783844886326,-1.9175373946868746,0.3586195051122445,1.950783844886326,1.950783844886326,0.0,1.0,0.4,16.667430185948653,96.16507975676313,97.59880016490001,16.667430185948653,216.16507975676313,216.8066994704067,1.950783844886326,3.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,484.0,18.23152981614081,143.32805216474236,144.4829374589814,-47.81842538946755,100.00865616853177,110.85275420738847,-29.58689557332674,243.33670833327415,245.1288192198948,1.0,0.1,-2.304033221715944,0.38304818532773766,2.3356572948644723,-2.304033221715944,0.38304818532773766,2.3356572948644723,2.3356572948644723,0.0,1.0,0.1,-50.12245861118349,100.39170435385952,112.20853425788316,-50.12245861118349,100.39170435385952,112.20853425788316,2.3356572948644723,0.0,1.0,0.1,-50.12245861118349,100.39170435385952,112.20853425788316,-50.12245861118349,100.39170435385952,112.20853425788316,2.3356572948644723,0.0,1.0,0.1,-2.304033221715944,0.38304818532773766,2.3356572948644723,-2.304033221715944,0.38304818532773766,2.3356572948644723,2.3356572948644723,0.0,1.0,0.1,-50.12245861118349,100.39170435385952,112.20853425788316,-50.12245861118349,100.39170435385952,112.20853425788316,2.3356572948644723,0.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,544.5,17.85770260806896,148.55870339121768,149.62815876604918,-114.38043451620426,226.47462614898436,253.71960919376713,-96.5227319081353,375.03332954020203,387.25525953951814,1.0,0.1,-2.6778604297877955,0.45187135480472307,2.715717990277402,-2.6778604297877955,0.45187135480472307,2.715717990277402,2.715717990277402,0.0,1.0,0.2,2.94170505400794,106.92649750378908,106.96695516397851,-117.05829494599206,226.92649750378908,255.33953803710082,2.715717990277402,1.0,1.0,0.2,2.94170505400794,106.92649750378908,106.96695516397851,-117.05829494599206,226.92649750378908,255.33953803710082,2.715717990277402,1.0,1.0,0.1,-2.6778604297877955,0.45187135480472307,2.715717990277402,-2.6778604297877955,0.45187135480472307,2.715717990277402,2.715717990277402,0.0,1.0,0.2,2.94170505400794,106.92649750378908,106.96695516397851,-117.05829494599206,226.92649750378908,255.33953803710082,2.715717990277402,1.0
