case_id,sun_face,mode,orbit_index,n_samples,r_obs_x_urad,r_obs_y_urad,r_obs_norm_urad,delta_b_x_urad,delta_b_y_urad,b_adapt_x_urad,b_adapt_y_urad,w_orbit_small,promoted_norm_urad,layer
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",0,101,0.6286511054669772,-0.6605243164565424,0.9118632490868547,0.2514604421867909,-0.264209726582617,0.0,0.0,1.0,0.0,delta_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",1,100,4.154067103922826,2.3854613596490815,4.790271328669455,1.9130872837559216,0.6899748172770156,0.0,0.0,1.0,0.0,delta_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",2,100,-3.3982405526225015,2.763690298145724,4.380185260642851,0.5537910627069209,1.795450936535305,0.0,0.0,1.0,0.0,delta_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",0,101,129.54373888685777,75.13834857323168,149.7576432476782,51.81749555474311,30.055339429292673,0.0,0.0,1.0,0.0,delta_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",1,100,89.53975558584068,44.16237423494267,99.83828488330123,87.63339778907938,47.72028912326974,0.0,0.0,1.0,0.0,delta_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",2,100,-4.027840451803474,3.4403501251223334,5.297122585764244,86.022261608358,49.09642917331867,0.0,0.0,1.0,0.0,delta_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",0,101,0.9452669089676761,-2.61374220740377,2.7794204172728594,0.35920142540771693,-0.9932220388134327,0.018905338179353526,-0.05227484414807541,1.0,0.0555884083454572,slow_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",1,100,-1.240010186653334,-9.565088982936494,9.645131026300117,-0.12996251679093584,-4.578294750388629,0.012065205716672692,-0.2932377257474769,1.0,0.24105994632205952,slow_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",2,100,10.309627821617747,12.238051677197562,16.001822854726043,3.7941941812633555,0.30107962446587644,0.2117596363094809,-0.2773914297229571,1.0,0.20032216728930077,slow_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",0,101,138.02041353345976,58.251932699154985,149.80961990184116,52.447757142714714,22.135734425678894,2.7604082706691955,1.1650386539830997,1.0,2.9961923980368232,slow_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",1,100,86.58739457991186,54.59387871195551,102.36145999815096,82.7285792259455,41.77462161493805,7.114544019403168,3.363702949506155,1.0,4.8777682194638,slow_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",2,100,-13.027591701990586,2.7124560066790266,13.30697422940103,73.64166541789179,40.71662381672918,10.990421146660632,5.506683150386638,1.0,4.428858503831807,slow_b_nonthermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",0,101,0.6286511054669659,-0.6605243164567841,0.9118632490870219,0.25146044218678637,-0.26420972658271363,0.0,0.0,1.0,0.0,delta_b_thermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",1,100,4.4374616177871085,0.308077684704664,4.448143148454956,2.02644508930163,-0.14097865270084803,0.0,0.0,1.0,0.0,delta_b_thermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",2,100,-3.1568162811552356,1.6322904223129453,3.5538515804323265,0.7637185768395356,0.51193751622433,0.0,0.0,1.0,0.0,delta_b_thermal
